Blast,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212828170,A,D2,STSD,AR,OXI,0.205,1.643,540.245,7429,17109,113,0.145,70.808,0.074
S212828170,B,M6,STSD,AR,OXI,0.301,2.662,685.723,8984,20689,200,0.251,83.224,0.181
S212828170,C,M1,SD,SI2,OXI,0.352,3.949,681.836,13991,34194,387,0.454,128.865,0.168
S212828170,D,M7,ST,AR,OXI,0.417,3.015,673.006,4002,8960,120,0.591,141.685,0.222
S212828170,E,M1,SD,SI2,OXI,0.811,13.057,669.944,12628,30863,805,0.627,77.349,0.442
S212828170,F,D4,FPD,AR,OXI,0.142,0.652,672.625,3433,7003,32,0.549,386.64,0.182
S212828170,G,M5,STSD,AR,OXI,0.544,2.908,-999,4562,10507,184,1.121,205.973,0.184
