Blast: S212884031, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D2,Q,AR,OXI,0.098,0.714,288,16876,29027,91,0.077,,79,0.06
B,M7,ST,AR,OXI,0.504,2.062,690,26409,59129,958,0.518,,103,0.17

