Blast: S212884036, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.423,7.566,754,14304,34958,476,0.392,,93,0.42
C,D2,Q,AR,OXI,0.094,0.830,346,22753,39134,119,0.071,,76,0.06
B,M5,STSD,AR,OXI,0.345,4.455,891,2186,5035,56,0.334,,97,0.22

