Blast: S212852080, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
C,D2,ST,AR,OXI,0.053,0.801,210,15315,34291,58,0.037,1.094,71,0.03
B,M1,SD,SI2,OXI,0.195,3.544,782,14981,36613,229,0.190,1.168,98,0.08
A,D2,ST,AR,OXI,0.026,2.600,206,4309,9647,8,0.008,,32,0.02

