Blast: S212796001, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
E,M9,STSD,SI1,OXI,0.271,0.999,832,3210,7392,64,0.192,,71,0.48
A,D2,Q,AR,OXI,0.109,1.035,595,4853,8346,29,0.081,,75,0.04
D,M1,SD,SI2,OXI,0.304,8.227,1377,5278,12900,126,0.226,,74,0.25
C,M5,STSD,AR,OXI,0.364,2.254,915,3627,8353,98,0.278,,76,0.13
B,M7,Q,AR,OXI,0.299,2.760,1136,3888,6688,64,0.213,,71,0.04

