,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212852107,A,,A,M9,STSD,SI1,OXI,0.525,8.130,1041.783,6896,15881,268,0.556,105.826,0.384
S212852107,B,,B,M9,STSD,SI1,OXI,1.189,15.209,1548.144,18465,42524,1626,1.218,102.372,0.812
S212852107,C,,C,D4,FPD,AR,OXI,0.118,2.244,476.791,9224,18817,72,0.092,77.759,0.909
S212852107,D,,D,M9,STSD,SI1,OXI,1.512,9.212,1090.714,12088,27838,1353,0.976,64.571,0.341
S212852107,E,,E,M9,STSD,SI1,OXI,0.410,3.779,812.371,12421,28606,377,0.407,99.282,0.448
