,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212772236,A,,A,D2,ST,AR,OXI,0.075,0.566,573.944,21384,47879,115,0.242,324.078,0.056
S212772236,B,,B,M2,SDST,SI2,OXI,0.638,1.168,543.649,9120,21706,445,0.172,26.998,0.088
S212772236,C,,C,M1,SD,SI2,OXI,0.150,1.854,892.323,13633,33318,160,0.571,381.356,0.165
