,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212852128,A,,A,D4,Q,AR,OXI,0.158,1.839,632.709,12230,21036,107,0.169,107.147,0.227
S212852128,B,,B,M5,STSD,AR,OXI,0.353,2.248,677.666,14981,34502,392,0.356,100.648,0.208
S212852128,C,,C,M5,STSD,AR,OXI,0.816,4.116,821.903,10497,24174,634,0.850,104.179,0.130
S212852128,D,,D,D2,STSD,AR,OXI,0.147,0.745,698.899,4173,9610,45,0.141,96.487,0.073
S212852128,E,,E,M5,STSD,AR,OXI,0.385,3.559,852.686,19001,43758,541,0.382,99.185,0.130
S212852128,F,,F,M5,STSD,AR,OXI,0.464,6.147,869.569,15691,36137,539,0.401,86.481,0.334
