Blast,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212828160,A,M5,STSD,AR,OXI,0.673,2.611,920.106,4320,9949,215,0.684,101.694,0.13
S212828160,B,M1,SD,SI1,OXI,2.752,36.185,2621.687,5246,12822,1135,2.182,79.286,0.552
S212828160,C,M1,SD,SI2,OXI,0.426,6.692,1602.682,9432,23051,316,0.751,176.201,0.259
S212828160,D,M5,STSD,AR,OXI,0.248,2.108,887.991,12855,29606,236,0.45,181.577,0.175
S212828160,E,D2,STSD,AR,OXI,0.14,0.612,566.394,8497,19568,88,0.128,91.238,0.091
S212828160,F,M2,SDST,SI2,OXI,0.286,1.736,627.136,8460,20136,185,0.198,69.156,0.148
S212828160,G,D4,STSD,AR,OXI,0.157,0.601,497.328,8385,19312,97,0.203,129.358,0.169
