Blast: S212756023, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D5,STSD,AR,SUL,0.190,9.813,677,6177,14226,87,0.043,,23,3.39
B,D5,STSD,SI2,SUL,0.305,12.858,524,10306,23735,233,0.100,,33,4.66
C,M1,SD,SI2,OXI,2.222,51.468,2742,5554,13573,970,2.853,,128,0.57
D,M3,STSD,SI2,OXI,0.602,16.657,890,2913,6710,130,0.940,,156,1.23

