,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212828243,A,,A,M6,Q,AR,OXI,0.309,4.115,612.198,10268,17662,175,0.228,73.694,0.017
S212828243,B,,B,M1,SD,SI2,OXI,0.408,12.891,-999.000,12352,30189,396,0.000,0.000,-999.000
S212828243,C,,C,M5,STSD,AR,OXI,0.653,14.412,-999.000,4483,10325,217,0.000,0.000,-999.000
S212828243,D,,D,D2,ST,AR,OXI,0.162,0.985,-999.000,7166,16045,83,0.000,0.000,-999.000
S212828243,E,,E,M1,SD,SI2,OXI,0.242,1.886,-999.000,8450,20651,161,0.000,0.000,-999.000
