Blast: S212876073, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M7,FPD,AR,OXI,0.280,3.717,660,2039,4160,37,0.215,,77,0.70
B,M9,ST,SI1,OXI,0.469,6.857,917,27102,60681,915,0.457,,97,0.26
C,M5,STSD,AR,OXI,0.780,12.125,1506,2407,5543,139,0.757,,97,0.32

