Blast: S212796012, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.224,2.250,628,637,1556,11,0.228,,102,0.10
B,D2,STSD,AR,OXI,0.047,0.735,309,1446,3330,5,0.013,,27,0.03
C,M1,SD,SI2,OXI,0.263,1.174,653,2501,6112,52,0.221,,84,0.04

