PTO,ESTE,NORTE
1,808151.797,9157113.226
2,808153.87,9157143.204
3,808142.394,9157167.114
4,808133.985,9157167.17
5,808157.541,9157170.66
6,808151.814,9157176.202
7,808154.821,9157197.936
8,808127.582,9157210.111
9,808127.268,9157217.452
10,808174.6,9157219.968
11,808180.632,9157231.881
12,808148.359,9157231.488
13,808127.167,9157235.96
14,808186.569,9157245.635
15,808127.421,9157259.532
16,808127.729,9157267.44
17,808188.805,9157281.388
18,808187.554,9157299.851
19,808132.749,9157305.298
