,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212796195,A,,A,M2,SDST,SI2,OXI,0.130,1.630,1597.065,3284,7815,33,0.320,246.682,0.302
S212796195,B,,B,D4,STSD,AR,OXI,0.038,4.063,791.352,8109,18674,23,0.181,483.253,0.104
S212796195,C,,C,M1,SD,SI2,OXI,0.193,5.079,1580.264,6973,17042,106,0.170,88.188,0.076
S212796195,D,,D,D2,ST,AR,OXI,0.033,2.218,1270.443,5372,12028,13,0.191,577.383,0.089
S212796195,E,,E,M1,SD,SI2,OXI,0.124,0.948,799.156,8934,21836,87,0.239,192.600,0.211
S212796195,F,,F,D4,STSD,AR,OXI,0.023,0.550,610.925,10554,24305,18,0.175,765.438,0.616
S212796195,G,,G,M2,SDST,SI2,OXI,0.252,1.374,1063.261,12753,30351,246,0.188,74.582,0.456
