,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212844249,A,,A,M9,STSD,SI1,OXI,0.707,15.950,1109.571,5327,12269,279,0.543,76.897,0.644
S212844249,B,,B,D4,FPD,SI1,OXI,0.145,4.894,368.434,11123,22691,106,0.069,47.254,1.502
S212844249,C,,C,M3,STSD,SI2,OXI,0.528,12.710,1948.978,20887,48102,816,0.808,153.225,1.153
S212844249,D,,D,M3,STSD,SI2,OXI,0.367,9.791,684.244,17718,40805,482,0.381,103.656,0.208
