Blast: S212876021, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D4,FPD,AR,OXI,0.101,0.732,634,11836,24146,78,0.065,,64,0.27
B,M7,FPD,AR,OXI,0.332,2.188,1027,5050,10302,110,0.316,,95,0.16
C,M3,STSD,SI2,OXI,0.958,3.574,1060,6641,15294,471,0.729,,76,0.08
D,M5,STSD,AR,OXI,0.322,1.529,864,11026,25392,263,0.269,,84,0.05
E,M2,SDST,SI2,OXI,0.237,1.937,801,7577,18033,137,0.208,,88,0.07
F,M5,STSD,AR,OXI,0.309,1.152,707,7879,18146,180,0.300,,97,0.07

