,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
S212844091,A,,A,M3,STSD,SI2,OXI,0.481,3.947,1334.840,19088,43960,687,0.469,0.000,39.679,0.605
S212844091,B,,B,D4,ST,AR,OXI,0.057,0.947,315.541,51622,115581,178,0.050,0.000,-1739.616,0.147
S212844091,C,,C,D2,STSD,AR,OXI,0.036,0.693,133.666,2369,5456,6,0.021,0.000,-118.830,0.057
