;;Block Model;;;;;;;;;;;;;;
Blast;Grade Block;Name;Grade block name;material;lito;alte;orezonet;au;ag;as;volume;tonnes;onzas;aucn;ptaucn;s
S212820222;A;;A;M3;ST;SI2;OXI;0.305;2.178;-999;13689;30649;300;0.742;243.72;0.122
S212820222;B;;B;M6;STSD;AR;OXI;0.299;1.72;-999;2833;6523;63;0;0;-999
S212820222;C;;C;M7;Q;AR;OXI;0.424;3.219;-999;6834;11754;160;0.372;87.779;-999
S212820222;D;;D;D2;Q;AR;OXI;0.195;4.112;-999;17636;30334;190;0;0;-999
