Blast: S202796176, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D4,ST,AR,OXI,0.046,0.722,89,4932,11043,16,0.020,,44,0.31
B,M2,SDST,SI2,OXI,0.346,2.477,608,11432,27208,302,0.316,,92,0.94
C,D2,STSD,AR,OXI,0.103,0.524,216,6717,15468,51,0.064,,62,0.05
D,M1,SD,SI2,OXI,0.289,1.753,616,10805,26408,245,0.222,,77,0.08
E,D2,STSD,AR,OXI,0.041,0.606,364,11206,25808,34,0.035,,84,0.04
F,M2,SDST,SI2,OXI,0.470,2.634,722,7696,18316,277,0.317,,67,0.09

