,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212868217,A,,A,D2,FPD,AR,OXI,0.149,3.004,-999.000,1402,2861,14,0.000,0.000,-999.000
S212868217,B,,B,M10,ST,SI1,OXI,0.729,16.865,1079.329,23226,52003,1220,0.570,78.198,0.683
S212868217,C,,C,D4,FPD,AR,OXI,0.206,6.581,951.431,1696,3460,23,0.482,233.860,0.626
S212868217,D,,D,M7,ST,AR,OXI,0.658,6.710,878.430,13168,29483,624,0.951,144.489,0.698
S212868217,E,,E,D4,FPD,AR,OXI,0.098,4.375,605.178,2540,5182,16,0.246,250.696,0.670
S212868217,F,,F,M10,ST,SI1,OXI,0.344,4.573,1034.906,1391,3114,34,0.692,201.140,0.153
