PTO,ESTE,NORTE
1,807472.814,9157454.423
2,807464.718,9157470.036
3,807478.935,9157469.871
4,807483.77,9157461.298
5,807503.174,9157474.386
6,807463.679,9157478.145
7,807516.974,9157494.454
8,807462.14,9157521.361
9,807526.003,9157516.581
10,807516.546,9157519.011
11,807492.067,9157533.323
12,807495.492,9157538.393
13,807527.315,9157519.728
14,807462.188,9157536.832
15,807474.58,9157536.964
16,807469.869,9157553.149
17,807462.259,9157553.45
18,807462.306,9157567.701
19,807517.04,9157538.524
20,807527.719,9157548.306
21,807547.434,9157582.94
22,807545.417,9157592.029
