PTO,ESTE,NORTE
1,808240.73,9157354.325
2,808248.331,9157317.558
3,808248.11,9157313.338
4,808269.998,9157294.363
5,808289.671,9157294.484
6,808287.368,9157341.586
7,808282.469,9157341.361
8,808249.591,9157365.111
