Blast: S212860083, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D1,SD,SI2,OXI,0.031,1.096,456,20075,49063,50,0.008,,25,0.10
B,D2,STSD,AR,OXI,0.017,0.540,180,32387,74587,40,0.010,0.202,57,0.10

