PTO,ESTE,NORTE
1,807709.259,9157337.168
2,807692.149,9157348.109
3,807616.944,9157416.78
4,807601.323,9157399.61
5,807587.761,9157418.4
6,807591.57,9157424.17
7,807602.34,9157433.794
8,807589.493,9157448.361
9,807577.027,9157456.336
10,807584.956,9157462.306
11,807601.29,9157446.88
12,807629.263,9157431.105
13,807577.078,9157444.574
14,807570.353,9157442.518
15,807579.567,9157490.267
16,807590.843,9157509.697
17,807594.934,9157474.537
18,807606.342,9157457.047
19,807637.271,9157467.122
20,807649.635,9157463.142
21,807718.361,9157428.82
22,807751.517,9157398.733
23,807754.979,9157395.589
24,807745.913,9157381.087
25,807740.251,9157384.698
26,807720.901,9157355.023
27,807724.162,9157389.732
28,807705.032,9157410.444
29,807693.748,9157399.651
30,807709.537,9157381.372
31,807709.064,9157365.624
32,807687.532,9157396.245
33,807678.828,9157369.65
34,807653.907,9157390.294
35,807671.647,9157426.509
36,807629.757,9157464.889
