Blast: S212884025, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M7,Q,AR,OXI,0.327,3.028,642,3342,5748,60,0.277,,85,0.09
B,D2,Q,AR,OXI,0.085,0.921,446,47476,81659,223,0.076,,89,0.04
C,M5,STSD,AR,OXI,0.818,15.276,1667,11962,27547,725,0.831,,102,0.45
D,M7,Q,AR,OXI,0.397,3.266,813,10280,17681,225,0.285,,72,0.33

