,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212852244,A,,A,M3,ST,SI2,OXI,0.470,12.605,-999.000,11227,25138,380,0.445,94.493,0.492
S212852244,B,,B,M8,SDST,SI1,OXI,0.411,8.660,623.572,6741,16043,212,0.331,80.483,0.239
S212852244,C,,C,M3,ST,SI2,OXI,0.380,10.375,-999.000,4924,11025,135,0.000,0.000,-999.000
S212852244,D,,D,M10,ST,SI1,OXI,0.735,9.519,2280.127,14498,32461,767,0.776,105.580,0.418
S212852244,E,,E,M2,SDST,SI2,OXI,0.356,10.268,1346.963,6856,16318,187,0.481,134.971,0.297
