Blast: S212780033, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
D,M3,ST,SI2,OXI,0.409,3.515,1157,5479,12267,161,0.308,,75,1.74
A,M1,SD,SI2,OXI,0.294,4.644,1044,6944,16971,160,0.235,,80,0.16
B,D4,ST,AR,OXI,0.073,0.819,384,33098,74105,175,0.023,,32,1.73
C,M7,ST,AR,OXI,0.286,2.939,592,3442,7707,71,0.266,,93,0.76

