Blast: S212892056, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M9,ST,SI1,OXI,0.691,13.107,1031,10036,22470,499,0.720,,104,0.61
B,D4,ST,SI1,OXI,0.011,0.565,837,2950,6604,2,0.509,,4671,0.33

