Blast,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212836162,A,M8,SDST,SI1,OXI,0.667,3.162,793.243,11763,27997,601,0.789,118.285,0.182
S212836162,B,M5,STSD,AR,OXI,0.393,1.963,616.199,4386,10100,128,0.709,180.454,0.162
S212836162,C,M8,SDST,SI1,OXI,0.33,3.939,692.518,9683,23045,245,0.399,120.955,0.206
S212836162,D,M5,STSD,AR,OXI,0.475,3.783,783.151,22447,51696,790,0.46,96.891,0.267
S212836162,E,M8,SDST,SI1,OXI,0.272,4.267,609.37,3476,8274,72,0.233,85.803,0.269
S212836162,F,M8,SDST,SI1,OXI,0.435,4.897,618.606,8866,21102,295,0.422,97.19,0.238
