Blast: S212876062, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
E,D4,Q,AR,OXI,0.109,1.975,460,13245,22781,80,0.085,,78,0.18
D,M5,STSD,AR,OXI,1.071,6.911,835,7642,17599,606,0.985,,92,0.36
A,M9,STSD,SI1,OXI,0.506,11.217,1275,11516,26522,431,0.617,,122,0.41
C,M7,FPD,AR,OXI,0.911,11.364,1217,10609,21643,634,0.958,,105,0.83
B,M5,STSD,AR,OXI,0.600,10.125,1139,22598,52043,1004,0.642,,107,0.41

