Blast: S212900016, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M5,STSD,AR,OXI,0.447,4.617,749,4044,9312,134,0.404,,90,0.60
B,D2,Q,AR,OXI,0.086,1.133,256,15909,27363,76,0.059,,68,0.10

