Blast: S212892034, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
B,D3,SD,SI2,OXI,0.100,1.724,833,8335,20370,65,0.126,0.550,127,0.15
A,D2,Q,AR,OXI,0.023,0.580,269,34691,59669,45,0.009,0.495,37,0.03
C,D3,SD,SI2,OXI,0.051,0.933,655,5889,14392,24,0.102,0.495,200,0.10

