Blast: S212892034, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
B,D3,SD,SI2,OXI,0.080,1.396,759,14223,34762,89,0.116,0.520,146,0.13
A,D2,Q,AR,OXI,0.023,0.580,269,34691,59669,45,0.009,0.495,37,0.03

