SOURCE,REGION,CUTOFF,AUPPM,AGPPM,TOTAL_VOLUME,TOTAL_MASS
Sha_bm_mtm_200601_reg_210328_Plan_Semana_2.bmf,2868-21075_FFF_0.00t,0,0.05507731,0.850842518,1657.277728,4018.453746
Sha_bm_mtm_200601_reg_210328_Plan_Semana_2.bmf,2868-21075_FFF_0.00t,0.1,0.208785819,2.984317979,784.8842074,1904.127912
Sha_bm_mtm_200601_reg_210328_Plan_Semana_2.bmf,2868-21075_FFF_1.00t,0,0.022821301,0.374848426,6277.307801,15022.16404
