Blast: S212868075, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.145,0.679,1297,2695,6587,31,0.225,0.460,155,0.02
B,D2,STSD,AR,OXI,0.019,0.552,351,2805,6461,4,0.007,0.368,36,0.01

