Blast: S212788040, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.180,1.214,639,12565,30710,178,0.163,,90,0.02
B,D2,Q,AR,OXI,0.116,1.019,400,2599,4469,17,0.099,,86,0.01

