PTO,ESTE,NORTE
1,807826.754,9157480.901
2,807813.152,9157476.315
3,807789.636,9157500.066
4,807778.306,9157494.232
5,807768.183,9157489.02
6,807707.896,9157530.35
7,807719.094,9157539.855
8,807747.271,9157549.701
9,807755.124,9157575.938
10,807763.808,9157538.037
11,807772.089,9157521.163
12,807787.245,9157510.879
13,807774.376,9157503.472
14,807780.447,9157558.398
15,807805.936,9157528.674
16,807838.719,9157530.641
17,807816.318,9157546.827
18,807795.894,9157561.769
19,807778.951,9157575.78
20,807761.607,9157590.122
21,807772.016,9157612.062
22,807795.096,9157660.708
23,807797.868,9157625.852
24,807787.531,9157607.259
25,807807.816,9157612.355
26,807815.93,9157601.346
27,807821.661,9157593.57
28,807839.199,9157598.801
29,807832.223,9157564.701
30,807857.021,9157604.117
31,807882.704,9157603.209
