,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212820185,A,,A,M1,SD,SI2,OXI,0.166,2.108,858.872,12696,31030,166,0.176,106.032,0.144
S212820185,B,,B,M5,STSD,AR,OXI,0.381,3.206,940.104,26049,59992,735,0.263,69.026,0.358
S212820185,C,,C,M1,SD,SI2,OXI,0.656,9.779,3258.755,64299,157148,3314,0.973,148.322,0.430
