,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
S212860094,A,,A,D4,FPD,AR,OXI,0.080,0.887,1375.500,12649,25804,67,0.054,0.000,67.665,1.136
S212860094,B,,B,M5,STSD,AR,OXI,1.520,4.670,1087.135,23397,53883,2632,1.345,0.000,88.503,0.262
S212860094,C,,C,M5,STSD,AR,OXI,0.521,2.486,797.324,19524,44964,754,0.478,0.000,91.696,0.108
S212860094,D,,D,M7,ST,AR,OXI,0.346,1.694,766.511,35215,78845,877,0.256,0.000,73.947,0.126
S212860094,E,,E,M7,ST,AR,OXI,0.922,4.005,938.646,8359,18715,555,0.832,0.000,90.197,0.361
S212860094,F,,F,D4,Q,AR,OXI,0.127,2.371,464.608,4306,7406,30,0.109,0.000,85.905,0.239
S212860094,G,,G,D4,FPD,AR,OXI,0.084,0.995,683.962,1936,3949,11,0.099,0.000,118.363,0.552
