Blast: S212780041, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.261,4.965,756,21100,51567,432,0.298,,114,0.09
B,D2,ST,AR,OXI,0.036,1.609,136,3705,8296,10,0.018,,51,0.02
C,D2,STSD,AR,OXI,0.094,0.895,406,1463,3369,10,0.075,,80,0.04

