Blast,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212844152,A,M9,Q,SI1,OXI,0.21,4.024,701.522,11215,19290,130,0.196,93.229,0.327
S212844152,B,M5,STSD,AR,OXI,0.324,3.54,902.918,17255,39739,414,0.298,91.929,0.154
S212844152,C,M7,Q,AR,OXI,0.275,4.639,712.859,3414,5873,52,0.281,102.193,0.3
S212844152,D,M9,STSD,SI1,OXI,0.479,3.357,836.242,12952,29828,459,0.479,99.969,0.103
