Blast: S212868085, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M5,STSD,AR,OXI,0.337,4.477,672,7156,16480,179,0.300,,89,0.16
B,M7,Q,AR,OXI,0.241,3.754,629,13359,22978,178,0.181,,75,0.22
C,M9,Q,SI1,OXI,0.345,4.973,677,25034,43058,477,0.292,,85,0.23
D,D2,Q,AR,OXI,0.161,1.924,497,19254,33117,171,0.125,,78,0.08
E,M7,Q,AR,OXI,0.271,3.237,625,5774,9932,87,0.210,,77,0.17
F,M6,Q,AR,OXI,0.199,1.906,504,7575,13029,84,0.162,,81,0.18
G,D4,Q,AR,OXI,0.140,2.478,489,26258,45164,203,0.107,,76,0.20

