PTO,ESTE,NORTE
1,807862.173,9157544.729
2,807889.185,9157607.032
3,807847.299,9157563.383
4,807848.882,9157582.208
5,807875.803,9157625.825
6,807867.707,9157624.504
7,807855.903,9157622.603
8,807829.021,9157586.194
9,807816.303,9157602.156
10,807840.255,9157614.198
11,807850.723,9157635.918
12,807868.753,9157635.678
13,807835.408,9157618.135
14,807820.205,9157614.056
15,807811.854,9157607.571
16,807805.865,9157615.064
17,807858.92,9157649.443
18,807834.89,9157658.676
19,807796.318,9157626.808
20,807828.518,9157692.008
