,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212780224,A,,A,M2,SDST,SI2,OXI,0.057,0.382,-999.000,869,2068,4,0.000,0.000,-999.000
S212780224,B,,B,D2,STSD,AR,OXI,0.017,0.337,-999.000,17938,41312,22,0.000,0.000,-999.000
