,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212836193,A,,A,M5,STSD,AR,OXI,0.318,5.141,760.878,4143,9541,98,0.368,115.619,0.483
S212836193,B,,B,M5,STSD,AR,OXI,0.354,3.152,647.980,8591,19784,225,0.346,97.729,0.175
S212836193,C,,C,D4,Q,SI1,OXI,0.249,4.100,690.860,27083,46583,373,0.222,89.078,0.282
S212836193,D,,D,M6,Q,AR,OXI,0.277,3.592,922.053,4480,7706,69,0.229,82.821,0.134
S212836193,E,,E,M9,Q,SI1,OXI,0.372,4.826,547.543,2677,4604,55,0.244,65.668,0.231
