,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212812179,A,,A,D2,STSD,AR,OXI,0.016,0.305,-999.000,1990,4584,2,0.000,0.000,-999.000
S212812179,B,,B,M1,SD,SI2,OXI,0.044,1.438,447.752,66607,162788,229,0.391,893.631,-999.000
