PTO,ESTE,NORTE
1,808151.719,9157478.921
2,808154.416,9157465.858
3,808187.37,9157469.958
4,808171.064,9157481.039
5,808207.085,9157432.697
6,808222.694,9157435.034
7,808167.528,9157703.019
