;;Block Model;;;;;;;;;;;;;;
Blast;Grade Block;Name;Grade block name;material;lito;alte;orezonet;au;ag;as;volume;tonnes;onzas;aucn;ptaucn;s
S212804184;A;;A;D2;STSD;AR;OXI;0.013;0.335;132.615;4290;9880;4;0.017;129.949;0.069
S212804184;B;;B;M1;SD;SI2;OXI;0.24;2.178;567.209;19008;46455;359;0.217;90.242;0.15
S212804184;C;;C;D4;ST;AR;OXI;0.03;0.48;586.405;6919;15491;15;0.347;1160.183;0.123
S212804184;D;;D;M2;SDST;SI2;OXI;0.156;1.053;952.514;25295;60201;302;0.318;203.915;0.412
S212804184;E;;E;D4;STSD;AR;OXI;0.022;0.829;347.076;7127;16414;11;0.17;782.692;0.427
S212804184;F;;F;M1;SD;SI2;OXI;0.149;2.548;912.722;20750;50713;244;0.148;98.705;0.071
