,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212812171,A,,A,D2,ST,AR,OXI,0.014,0.367,171.204,57967,129789,58,0.012,82.607,0.036
S212812171,B,,B,D4,STSD,AR,OXI,0.080,0.559,428.864,2442,5625,15,0.350,434.538,0.150
S212812171,C,,C,M1,SD,SI2,OXI,0.261,1.716,1121.699,35014,85574,719,0.399,152.524,0.227
S212812171,D,,D,D4,ST,AR,OXI,0.023,0.990,392.183,9106,20387,15,0.025,111.052,0.141
S212812171,E,,E,M1,SD,SI2,OXI,0.096,1.692,963.873,22800,55724,172,0.165,171.932,0.047
