PTO,ESTE,NORTE
1,808176.137,9157082.128
2,808198.088,9157214.348
3,808141.374,9157237.531
4,808207.916,9157236.258
5,808144.036,9157254.066
6,808213.795,9157272.618
7,808193.661,9157286.113
8,808188.757,9157280.427
9,808150.808,9157303.86
10,808152.041,9157314.008
11,808211.741,9157310.875
12,808184.626,9157332.851
13,808179.663,9157348.869
14,808151.903,9157359.61
15,808196.784,9157471.129
16,808154.416,9157465.858
