,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212820183,A,,A,M7,ST,AR,OXI,0.710,1.982,555.715,3854,8628,197,0.156,22.011,0.040
S212820183,B,,B,M2,SDST,SI2,OXI,0.281,5.437,753.902,9430,22443,203,0.350,124.806,0.143
S212820183,C,,C,D2,ST,AR,OXI,0.147,1.064,749.153,27252,61018,288,0.215,146.524,0.038
S212820183,D,,D,M5,STSD,AR,OXI,0.629,15.497,1010.648,4133,9518,193,2.328,369.953,0.028
S212820183,E,,E,M1,SD,SI2,OXI,1.884,34.098,2672.080,2359,5765,349,0.000,0.000,0.307
S212820183,F,,F,M5,STSD,AR,OXI,0.820,3.450,578.111,6789,15634,412,0.000,0.000,0.039
