PTO,ESTE,NORTE
1,807881.925,9157093.535
2,807889.343,9157192.932
3,807876.388,9157195.918
4,807890.881,9157213.54
5,807872.813,9157218.669
6,807892.265,9157231.483
7,807876.612,9157235.328
8,807868.504,9157253.56
9,807858.761,9157255.059
10,807854.885,9157284.183
11,807831.268,9157312.138
12,807805.355,9157313.614
13,807825.548,9157337.847
14,807877.904,9157321.762
15,807872.106,9157310.434
16,807896.985,9157290.257
17,807897.861,9157300.35
18,807905.398,9157313.316
