,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212804192,A,,A,M2,SDST,SI2,OXI,0.038,1.511,-999.000,1196,2847,3,0.000,0.000,-999.000
S212804192,B,,B,D2,STSD,AR,OXI,0.011,0.349,241.813,69325,159655,57,0.018,159.709,0.060
S212804192,C,,C,M1,SD,SI2,OXI,0.060,0.669,476.420,2017,4930,10,0.068,111.819,0.116
