,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212820253,A,,A,D2,Q,AR,OXI,0.127,1.197,622.364,8284,14248,58,0.185,145.263,0.014
S212820253,B,,B,D2,Q,AR,OXI,0.214,2.822,-999.000,7328,12604,87,0.000,0.000,-999.000
S212820253,C,,C,M7,Q,AR,OXI,0.376,3.597,719.066,28406,48858,590,0.311,82.731,0.065
S212820253,D,,D,M1,SD,SI2,OXI,0.328,11.059,-999.000,7456,18223,192,0.000,0.000,-999.000
S212820253,E,,E,M1,SD,SI2,OXI,0.529,17.550,-999.000,8136,19883,338,0.000,0.000,-999.000
S212820253,F,,F,D2,Q,AR,OXI,0.206,2.994,667.265,5188,8923,59,0.325,157.277,0.010
