,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
S212836098,A,,A,D2,Q,AR,OXI,0.076,1.095,261.399,36149,62176,151,0.056,0.000,74.100,0.068
S212836098,B,,B,M1,SD,SI2,OXI,0.168,3.426,787.267,35197,86022,465,0.152,0.000,90.088,0.131
S212836098,C,,C,D4,STSD,AR,OXI,0.115,1.488,650.030,3571,8224,30,0.121,0.000,105.576,0.101
