,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212844166,A,,A,M6,Q,AR,OXI,0.314,6.944,478.793,2895,4980,50,0.242,77.275,0.130
S212844166,B,,B,D4,Q,AR,OXI,0.137,1.837,459.614,48138,82798,365,0.093,67.923,0.130
S212844166,C,,C,D4,Q,AR,OXI,0.249,3.741,512.705,11298,19432,156,0.194,77.810,0.109
