,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212764247,A,,A,M1,SD,SI2,OXI,0.144,1.468,-999.000,3239,7917,37,0.000,0.000,-999.000
S212764247,B,,B,M5,STSD,AR,OXI,1.063,7.781,2736.977,3709,8543,292,0.974,91.626,0.244
S212764247,C,,C,M1,SD,SI2,OXI,0.929,7.998,1590.388,13138,32109,959,1.426,153.503,0.041
S212764247,D,,D,D2,STSD,AR,OXI,0.036,2.018,-999.000,4191,9652,11,0.000,0.000,-999.000
S212764247,E,,E,M1,SD,SI2,OXI,0.213,2.264,-999.000,4386,10720,73,0.000,0.000,-999.000
