Blast: S212868060, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D4,FPD,AR,OXI,0.136,0.681,1294,16978,34635,151,0.140,,103,0.36
B,M6,Q,AR,OXI,0.226,1.990,760,4548,7823,57,0.396,,175,0.10
C,M7,ST,AR,OXI,0.455,1.460,807,16998,38058,556,0.507,,112,0.10
D,D2,ST,AR,OXI,0.169,0.643,537,1830,4096,22,0.142,,84,0.02
E,D2,Q,AR,OXI,0.106,1.298,676,10043,17273,59,0.117,,110,0.05

