Blast: S212908003, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D2,Q,AR,OXI,0.106,0.866,422,27303,46962,160,0.067,,64,0.05
B,M5,STSD,AR,OXI,0.344,2.280,962,1268,2920,32,0.365,,106,0.11

