Blast,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
S212860092,A,D4,FPD,AR,OXI,0.114,0.744,549.531,3522,7186,26,0.127,0,111.063,0.369
S212860092,B,M7,Q,AR,OXI,0.333,2.91,687.479,11830,20347,218,0.236,0,70.906,0.193
S212860092,C,D4,Q,AR,OXI,0.151,1.72,448.345,27238,46850,227,0.124,0,82.138,0.108
S212860092,D,M7,Q,AR,OXI,0.338,2.75,902.986,12826,22061,240,0.356,0,105.108,0.202
