,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212828106,A,,A,D2,STSD,AR,OXI,0.045,1.016,182.426,52904,121838,174,0.031,69.537,0.090
S212828106,B,,B,M1,SD,SI2,OXI,0.171,3.703,749.182,16923,41360,228,0.142,82.886,0.103
