Blast,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212836169,A,D4,ST,AR,OXI,0.16,0.939,581.017,4104,9190,47,0.049,30.33,0.117
S212836169,B,M7,ST,AR,OXI,0.488,3.454,491.432,21696,48577,762,0.284,58.231,0.313
S212836169,C,M1,SD,SI2,OXI,0.383,12.154,1444.04,42708,104378,1284,0.373,97.62,0.308
S212836169,D,D2,STSD,AR,OXI,0.084,0.674,-999,12329,28393,77,0.033,39.307,0.063
