Blast: S212884014, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M2,SDST,SI2,OXI,0.250,0.916,599,2530,6022,48,0.232,,93,0.09
B,D2,STSD,AR,OXI,0.127,0.516,512,6090,14025,57,0.101,,80,0.05
C,M5,STSD,AR,OXI,0.266,0.904,609,11773,27114,232,0.261,,98,0.05
D,D4,Q,AR,OXI,0.126,1.062,430,11449,19692,80,0.108,,86,0.10

